,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
721,CORRIDOR NP,City of San Diego,"4004 DEL MAR TRAILS RD, 92130",Corridor Park
722,CORTE PLAYA SAN JUAN MP,City of San Diego,"5111 Corte Playa San Juan, 92124",Corte Playa San Juan Park
723,CUVIER MP,City of San Diego,"528 COAST BLVD, 92037",Cuvier Park
724,CYPRESS VALLEY MP,City of San Diego,"11871 Stonedale Ct., 92131",Cypress Valley Park
725,OCEAN BEACH ATHLETIC AREA ROBB FIELD,City of San Diego,"2525 Bacon Street, 92107",Ocean Beach Athletic Area Robb Field
726,HOYT NP,City of San Diego,"10805 CANYON LAKE DR, 92131",Hoyt Park
727,MISSION BAY ATHLETIC AREA,City of San Diego,"2697 GRAND AVE, 92109",Mission Bay Athletic Area
728,PEARLMAN MP,City of San Diego,"5404 Carmel Knolls Dr., 92130",Pearlman Park
729,SARATOGA  NP,City of San Diego,"5151 SARATOGA AVE, 92107",Saratoga  Park
730,SOLEDAD NATURAL PARK,City of San Diego,"7016 SOLEDAD PARK RD, 92037",Soledad Natural Park
731,TWEET ST MP,City of San Diego,"1696 8TH AVE, 92101",Tweet St Park
732,VAIL CREEK NP,City of San Diego,"5116 CARMEL KNOLLS DR, 92130",Vail Creek Park
733,VIA PLAYA LOS SANTOS MP,City of San Diego,"5112 Via Playa Los Santos, 92124",Via Playa Los Santos Park
734,WALLS OF EXCELLENCE MP,City of San Diego,"4932 IMPERIAL AVE, 92102",Walls Of Excellence Park
735,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
736,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
737,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
738,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
739,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
740,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
741,CHOLLAS PARKWAY OS,City of San Diego,,Chollas Parkway Open Space
742,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
743,CLEAR. SITE 691,City of San Diego,,Clear. Site 691
744,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
745,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
746,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
747,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
748,OTAY MITIGATION SITE,City of San Diego,,Otay Mitigation Site
749,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
750,DUSTY RHODES NP,City of San Diego,"2500 SUNSET CLIFFS BLVD,92107",Dusty Rhodes Park
751,EAST GATE MP #2,City of San Diego,"9825 TOWNE CENTRE DR, 92121",East Gate Park #2
752,GRANTVILLE NP,City of San Diego,"4645 VANDEVER AVE, 92120",Grantville Park
753,WINTERWOOD LANE NP,City of San Diego,"7540 WINTERWOOD LN, 92126",Winterwood Lane Park
754,MCAULIFFE SHARON CP,City of San Diego,"7540 WINTERWOOD LN, 92126",Mcauliffe Sharon Park
755,MCCAIN MP,City of San Diego,"3032 39TH ST, 92105",Mccain Park
756,NEIGHBORHOOD 8 NP,City of San Diego,"11900 Carmel Creek RD,92130",Neighborhood 8 Park
757,CENTRUM NP,City of San Diego,8650 SPECTRUM CENTER BLVD,Centrum Park
758,WARD CANYON NP,City of San Diego,"4642 40TH ST, 92116",Ward Canyon Park
759,GOLDEN HILL CP,City of San Diego,2600 Golf Course Dr. 92102,Golden Hill Park
760,CHILDRENS PARK,City of San Diego,"155 W ISLAND AVE, 92101",Childrens Park
761,SUN RIDGE VISTA MINI-PARK,City of San Diego,,Sun Ridge Vista Mini-Park
762,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
763,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
764,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
765,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
766,CARROLL CANYON OS,City of San Diego,,Carroll Canyon Open Space
767,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
768,CLEAR. SITE 645,City of San Diego,,Clear. Site 645
769,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
770,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
771,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
